PoissonDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
dataset_rgb_poisson_40,original,popolar,advanced_stats,10,,,FAILED
dataset_rgb_poisson_40,original,popolar,advanced_stats,20,,,FAILED
dataset_rgb_poisson_40,original,popolar,hybrid,2,,,FAILED
dataset_rgb_poisson_40,original,popolar,hybrid,5,,,FAILED
dataset_rgb_poisson_40,original,popolar,hybrid,10,,,FAILED
dataset_rgb_poisson_40,original,popolar,hybrid,20,,,FAILED
dataset_rgb_poisson_40,original,sunset,wst,2,,,FAILED
dataset_rgb_poisson_40,original,sunset,wst,5,,,FAILED
dataset_rgb_poisson_40,original,sunset,wst,10,,,FAILED
dataset_rgb_poisson_40,original,sunset,wst,20,,,FAILED
dataset_rgb_poisson_40,original,sunset,advanced_stats,2,,,FAILED
dataset_rgb_poisson_40,original,sunset,advanced_stats,5,,,FAILED
dataset_rgb_poisson_40,original,sunset,advanced_stats,10,,,FAILED
dataset_rgb_poisson_40,original,sunset,advanced_stats,20,,,FAILED
dataset_rgb_poisson_40,original,sunset,hybrid,2,,,FAILED
dataset_rgb_poisson_40,original,sunset,hybrid,5,,,FAILED
dataset_rgb_poisson_40,original,sunset,hybrid,10,,,FAILED
dataset_rgb_poisson_40,original,sunset,hybrid,20,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,wst,2,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,wst,5,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,wst,10,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,wst,20,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,hybrid,2,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,hybrid,5,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,hybrid,10,,,FAILED
dataset_rgb_poisson_40,augmented,assatigue,hybrid,20,,,FAILED
dataset_rgb_poisson_40,augmented,popolar,wst,2,,,FAILED
