noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
uniform40,assatigue,small,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9333333333333332,0.054433105395181765,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k10/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, R_range, R_mad, G_std, G_var, G_min, G_range, G_cv","0.9563140335839067, 0.9501764674463404, 0.9029447213420454, 0.8566943322975387, 0.9629093518458915, 0.8741359030724427, 0.8753263792629189, 0.929863428996047, 0.9771076843775572, 0.9077859911833153","0.8888888888888888, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888"
uniform40,assatigue,small,10,wst,wst_assatigue_k10_WithModel,0.9555555555555555,0.054433105395181765,10,45,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k10/wst/experiment_report_with_model.json,"R_wst_mean_14, R_wst_mean_15, R_wst_std_0, G_wst_mean_12, G_wst_mean_14, G_wst_mean_15, G_wst_std_0, G_wst_std_12, G_wst_std_13, G_wst_std_14","0.7535707275072672, 0.8420652192658082, 0.9006747037779101, 0.7643028965727696, 0.9650729816075605, 0.7641905420847703, 0.8522559928591993, 0.7527947133979198, 0.7584401173766571, 0.7501858407890474","0.8888888888888888, 1.0, 1.0, 0.8888888888888888, 1.0"
uniform40,assatigue,small,10,hybrid,hybrid_assatigue_k10_WithModel,0.9555555555555555,0.054433105395181765,10,45,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k10/hybrid/experiment_report_with_model.json,"R_std, R_var, R_min, R_mad, G_var, G_min, G_range, G_cv, R_wst_std_0, G_wst_mean_14","0.9563140335839067, 0.9501764674463404, 0.929611388008712, 0.9629093518458915, 0.8753263792629189, 0.929863428996047, 0.9826632399331128, 0.9077859911833153, 0.9006747037779101, 0.9650729816075605","1.0, 1.0, 0.8888888888888888, 0.8888888888888888, 1.0"
uniform40,assatigue,small,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.9555555555555555,0.054433105395181765,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k20/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, R_range, R_kurt, R_cv, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_p10, G_mad, G_grad_mean, B_min, B_cv, B_p10","0.9563140335839067, 0.9501764674463404, 0.9029447213420454, 0.8498160254192317, 0.7604026431881759, 0.7559390998756399, 0.73467326694314, 0.7543646249678315, 0.9629093518458915, 0.8741359030724427, 0.8753263792629189, 0.929863428996047, 0.9858378431077159, 0.9077859911833153, 0.8476917825596948, 0.8526095282127346, 0.7955268795614585, 0.8088167723121356, 0.8547333611699013, 0.7998942804974871","1.0, 1.0, 0.8888888888888888, 1.0, 0.8888888888888888"
uniform40,assatigue,small,20,wst,wst_assatigue_k20_WithModel,0.9333333333333332,0.054433105395181765,10,45,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k20/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_mean_13, R_wst_mean_14, R_wst_mean_15, R_wst_mean_16, R_wst_std_0, R_wst_std_12, R_wst_std_13, R_wst_std_14, G_wst_mean_9, G_wst_mean_12, G_wst_mean_13, G_wst_mean_14, G_wst_mean_15, G_wst_mean_16, G_wst_std_0, G_wst_std_12, G_wst_std_13, G_wst_std_14, G_wst_std_15","0.7191177113875844, 0.6667455773487836, 0.7535707275072672, 0.8420652192658082, 0.6848319741158964, 0.9006747037779101, 0.6677398608430676, 0.6857005600477333, 0.6853090509122579, 0.6721514239985973, 0.7643028965727696, 0.6711324559023291, 0.9650729816075605, 0.7641905420847703, 0.731432043436554, 0.8522559928591993, 0.7527947133979198, 0.7584401173766571, 0.7501858407890474, 0.6840418658937824","0.8888888888888888, 1.0, 0.8888888888888888, 0.8888888888888888, 1.0"
uniform40,assatigue,small,20,hybrid,hybrid_assatigue_k20_WithModel,0.9555555555555555,0.054433105395181765,10,45,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/small/k20/hybrid/experiment_report_with_model.json,"R_std, R_var, R_min, R_range, R_mad, G_std, G_var, G_min, G_range, G_cv, G_p10, G_mad, G_grad_mean, B_min, B_cv, B_p10, R_wst_mean_15, R_wst_std_0, G_wst_mean_14, G_wst_std_0","0.9563140335839067, 0.9501764674463404, 0.929611388008712, 0.8270647026679092, 0.9629093518458915, 0.8741359030724427, 0.8753263792629189, 0.929863428996047, 0.9771076843775572, 0.9077859911833153, 0.8524007772686895, 0.8526095282127346, 0.7955268795614585, 0.8514093649047281, 0.8547333611699013, 0.8227147933179999, 0.8420652192658082, 0.9006747037779101, 0.9650729816075605, 0.8522559928591993","1.0, 1.0, 0.8888888888888888, 0.8888888888888888, 1.0"
uniform40,assatigue,original,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.9746376811594203,0.033521836249914144,50,116,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k2/advanced_stats/experiment_report_with_model.json,"R_min, G_min","0.9938192187568782, 0.9847911247914711","0.9166666666666666, 1.0, 1.0, 0.9565217391304348, 1.0"
uniform40,assatigue,original,2,wst,wst_assatigue_k2_WithModel,0.8971014492753623,0.057315130241406345,50,116,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k2/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0","0.8846864136763462, 0.8991185742592616","0.8333333333333334, 0.8260869565217391, 0.9130434782608695, 0.9565217391304348, 0.9565217391304348"
uniform40,assatigue,original,2,hybrid,hybrid_assatigue_k2_WithModel,0.9746376811594203,0.033521836249914144,50,116,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k2/hybrid/experiment_report_with_model.json,"R_min, G_min","0.9909456555384875, 0.9847911247914711","0.9166666666666666, 1.0, 1.0, 0.9565217391304348, 1.0"
uniform40,assatigue,original,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.9746376811594203,0.033521836249914144,50,116,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k5/advanced_stats/experiment_report_with_model.json,"R_min, G_std, G_var, G_min, G_mad","0.9906762589867635, 0.9526112336381103, 0.9526112336381103, 0.9847911247914711, 0.9248101463517624","0.9166666666666666, 1.0, 0.9565217391304348, 1.0, 1.0"
uniform40,assatigue,original,5,wst,wst_assatigue_k5_WithModel,0.9742753623188406,0.021014492753623173,50,116,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k5/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_mean_9, G_wst_mean_13, G_wst_mean_15, G_wst_std_0","0.8846864136763462, 0.767359733324483, 0.8140386288657941, 0.8206648014799041, 0.8991185742592616","0.9583333333333334, 0.9565217391304348, 0.9565217391304348, 1.0, 1.0"
uniform40,assatigue,original,5,hybrid,hybrid_assatigue_k5_WithModel,0.9746376811594203,0.033521836249914144,50,116,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k5/hybrid/experiment_report_with_model.json,"R_min, G_std, G_var, G_min, G_mad","0.9964233854235449, 0.9526112336381103, 0.9526112336381103, 0.9847911247914711, 0.9248101463517624","0.9166666666666666, 1.0, 0.9565217391304348, 1.0, 1.0"
uniform40,assatigue,original,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9663043478260869,0.04865875931652042,50,116,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_40/assatigue/original/k10/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, G_std, G_var, G_min, G_range, G_cv, G_mad, B_min","0.8959760220986539, 0.8928956690773717, 0.9962078681821658, 0.9526112336381103, 0.9526112336381103, 0.9847911247914711, 0.9109400896780708, 0.881940818128909, 0.9248101463517624, 0.88276839505175","0.875, 1.0, 0.9565217391304348, 1.0, 1.0"
