noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
saltpepper15,assatigue,original,5,hybrid,hybrid_assatigue_k5_WithModel,1.0,0.0,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k5/hybrid/experiment_report_with_model.json,"R_iqr, G_p25, G_iqr, B_p25, R_wst_std_0","1.0567402127299124, 0.9030387155475363, 1.0966580135265178, 0.8845253236629484, 0.8882160491066673","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,assatigue,original,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,1.0,0.0,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k10/advanced_stats/experiment_report_with_model.json,"R_p25, R_p75, R_iqr, G_p25, G_p50, G_iqr, B_kurt, B_cv, B_p25, B_iqr","0.758539379287194, 0.7052126063424666, 1.0567402127299124, 0.9179661877052423, 0.6717266470003238, 1.0955804273196212, 0.6663426665621335, 0.7214132321078013, 0.8923400121672924, 0.7083098442004621","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,assatigue,original,10,wst,wst_assatigue_k10_WithModel,0.9050724637681158,0.0327613175520502,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k10/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_34, B_wst_mean_40, B_wst_mean_69, B_wst_std_0","0.6363804523171617, 0.8882160491066673, 0.6534855250954086, 0.8537633821080022, 0.6290109630312488, 0.4326396581822314, 0.4145540247696091, 0.4083973062255626, 0.39233928119161465, 0.5888195309738384","0.9166666666666666, 0.9130434782608695, 0.8695652173913043, 0.8695652173913043, 0.9565217391304348"
saltpepper15,assatigue,original,10,hybrid,hybrid_assatigue_k10_WithModel,1.0,0.0,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k10/hybrid/experiment_report_with_model.json,"R_p25, R_iqr, G_p25, G_p50, G_iqr, B_cv, B_p25, B_iqr, R_wst_std_0, G_wst_std_0","0.7729814027809419, 1.0567402127299124, 0.8930911270429764, 0.7243881138859285, 1.097889540620114, 0.7214132321078013, 0.8949941811145647, 0.7104650166142552, 0.8882160491066673, 0.8537633821080022","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,assatigue,original,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,1.0,0.0,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k20/advanced_stats/experiment_report_with_model.json,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, R_iqr, G_mean, G_skew, G_cv, G_p25, G_p50, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_p50, B_iqr","0.6231920363270211, 0.652273554594645, 0.6197082152405129, 0.7575083222216541, 0.6292853105700398, 0.6765063329358743, 1.0567402127299124, 0.6502288201145656, 0.6494659574982551, 0.6455047606491269, 0.9013854700744981, 0.7159602988848377, 1.097889540620114, 0.6495337402304062, 0.6539653817555395, 0.6663426665621335, 0.7214132321078013, 0.8958941432214234, 0.634294658490749, 0.7104650166142552","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,assatigue,original,20,wst,wst_assatigue_k20_WithModel,0.9050724637681158,0.0327613175520502,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k20/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_20, B_wst_mean_31, B_wst_mean_34, B_wst_mean_35, B_wst_mean_40, B_wst_mean_52, B_wst_mean_54, B_wst_mean_63, B_wst_mean_69, B_wst_mean_73, B_wst_std_0, B_wst_std_1, B_wst_std_5, B_wst_std_28, B_wst_std_68","0.6363804523171617, 0.8882160491066673, 0.6534855250954086, 0.8537633821080022, 0.6290109630312488, 0.4326396581822314, 0.38791690027098813, 0.4145540247696091, 0.3732346595711993, 0.4083973062255626, 0.3714641766034077, 0.3731294359440753, 0.3755428931056459, 0.39233928119161465, 0.3701589184568157, 0.5888195309738384, 0.377073189343873, 0.3922429275859416, 0.3658746498130174, 0.38873680447778325","0.9166666666666666, 0.8695652173913043, 0.9130434782608695, 0.8695652173913043, 0.9565217391304348"
saltpepper15,assatigue,original,20,hybrid,hybrid_assatigue_k20_WithModel,1.0,0.0,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/assatigue/original/k20/hybrid/experiment_report_with_model.json,"R_skew, R_p25, R_p75, R_iqr, G_mean, G_skew, G_cv, G_p25, G_p50, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_iqr, R_wst_mean_0, R_wst_std_0, G_wst_mean_0, G_wst_std_0","0.652273554594645, 0.7956440849263822, 0.7064326356800645, 1.0567402127299124, 0.6502288201145656, 0.6494659574982551, 0.6455047606491269, 0.8872110287805559, 0.6885303653126629, 1.0966580135265178, 0.6495337402304062, 0.6539653817555395, 0.6663426665621335, 0.7214132321078013, 0.8929188299012827, 0.7097466258096576, 0.6363804523171617, 0.8882160491066673, 0.6534855250954086, 0.8537633821080022","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,2,advanced_stats,advanced_stats_popolar_k2_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k2/advanced_stats/experiment_report_with_model.json,"R_iqr, B_p25","1.0571178821178826, 1.0348956598956602","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,2,wst,wst_popolar_k2_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k2/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0","0.9560067710067714, 0.922673437673438","1.0, 0.6666666666666666, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,2,hybrid,hybrid_popolar_k2_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k2/hybrid/experiment_report_with_model.json,"G_iqr, B_p25","1.0271178821178826, 1.0348956598956602","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,5,advanced_stats,advanced_stats_popolar_k5_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k5/advanced_stats/experiment_report_with_model.json,"R_p25, R_iqr, G_iqr, B_skew, B_p25","0.9987051837051841, 1.0571178821178826, 0.9660067710067715, 0.9971178821178825, 1.101562326562327","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,5,wst,wst_popolar_k5_WithModel,1.0,0.0,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k5/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_72","0.7912689162689168, 0.7647369297369302, 0.9448956598956604, 0.8625940725940728, 0.6753999703999711","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,5,hybrid,hybrid_popolar_k5_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k5/hybrid/experiment_report_with_model.json,"R_iqr, G_iqr, B_mean, B_skew, B_p25","0.9293401043401048, 0.9826734376734381, 0.9274088874088879, 0.952673437673438, 1.0793401043401047","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,10,advanced_stats,advanced_stats_popolar_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k10/advanced_stats/experiment_report_with_model.json,"R_mean, R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_cv, B_p25","0.8829355829355829, 0.967594072594073, 1.0571178821178826, 0.8209274059274065, 0.8339184889184892, 0.9826734376734381, 0.8274088874088878, 0.9082289932289935, 0.816268916268917, 1.101562326562327","0.6666666666666666, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper15,popolar,mini,10,wst,wst_popolar_k10_WithModel,0.7333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k10/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_mean_3, R_wst_mean_72, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_37, B_wst_mean_72, B_wst_std_0, B_wst_std_7","0.7996022496022501, 0.49764698264698337, 0.5029836829836836, 0.7869591519591526, 0.9226734376734382, 0.9237051837051842, 0.5090226440226442, 0.6971948421948428, 0.678491138491139, 0.4877768527768531","1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666"
saltpepper15,popolar,mini,10,hybrid,hybrid_popolar_k10_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k10/hybrid/experiment_report_with_model.json,"R_p25, R_iqr, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_p25, G_wst_std_0, B_wst_mean_0","1.0120385170385173, 0.990451215451216, 0.887594072594073, 0.9273800273800279, 0.9493401043401046, 0.8485199985199989, 0.9082289932289935, 1.1237845487845495, 0.9448956598956604, 0.9237051837051842","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper15,popolar,mini,20,advanced_stats,advanced_stats_popolar_k20_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_15/popolar/mini/k20/advanced_stats/experiment_report_with_model.json,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p75, R_iqr, R_mad, G_kurt, G_p25, G_iqr, B_mean, B_skew, B_kurt, B_cv, B_p25, B_p50, B_p75, B_iqr, B_grad_mean","0.7690466940466945, 0.9218244718244721, 0.6599437599437603, 0.8653718503718506, 0.7153711103711109, 0.4517451067451075, 0.9071178821178825, 0.4897345247345253, 0.8792607392607397, 0.771824471824472, 1.0271178821178826, 0.9218533318533324, 0.8637845487845492, 0.5831183631183636, 0.8607133607133612, 0.990451215451216, 0.8884911384911387, 0.5234117734117743, 0.5352131202131205, 0.5965094165094169","1.0, 1.0, 1.0, 1.0, 1.0"
