noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
clean,original,5,advanced_stats,0.975,0.05,"R_std, R_var, R_mad, B_cv, B_grad_mean"
clean,original,5,advanced_stats,1.0,,"R_iqr, G_iqr, G_mad, B_min, B_p10"
clean,original,5,hybrid,0.991667,0.016667,"R_min, R_iqr, G_min, G_iqr, B_min"
clean,original,5,hybrid,0.933333,0.072648,"R_wst_std_0, G_wst_mean_37, G_wst_mean_45, G_wst_mean_46, B_wst_mean_52"
clean,original,5,hybrid,1.0,,"R_iqr, G_iqr, G_mad, B_min, B_p10"
clean,original,5,wst,0.922101,0.050957,"R_wst_mean_15, R_wst_mean_53, R_wst_mean_60, R_wst_mean_61, R_wst_mean_62"
clean,original,5,wst,0.933333,0.072648,"R_wst_std_0, G_wst_mean_37, G_wst_mean_45, G_wst_mean_46, B_wst_mean_52"
clean,original,5,wst,0.918,0.057071,"R_wst_mean_9, R_wst_mean_10, R_wst_mean_16, R_wst_std_0, G_wst_mean_9"
clean,original,10,advanced_stats,1.0,,"R_min, R_cv, R_iqr, R_mad, G_std, G_min, G_cv, G_iqr, G_mad, B_min"
clean,original,10,advanced_stats,0.983333,0.033333,"R_std, R_var, R_iqr, R_mad, R_grad_mean, G_range, G_grad_mean, B_cv, B_p25, B_grad_mean"
clean,original,10,advanced_stats,0.991667,0.016667,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10"
clean,original,10,hybrid,1.0,,"R_min, R_cv, R_iqr, R_mad, G_min, G_cv, G_iqr, G_mad, B_min, R_wst_mean_61"
clean,original,10,hybrid,0.975,0.033333,"B_cv, R_wst_mean_3, R_wst_mean_40, R_wst_std_0, G_wst_mean_13, G_wst_mean_37, G_wst_mean_45, G_wst_mean_46, G_wst_std_55, B_wst_mean_52"
clean,original,10,hybrid,0.991667,0.016667,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10"
clean,original,10,wst,0.956884,0.038895,"R_wst_mean_15, R_wst_mean_53, R_wst_mean_60, R_wst_mean_61, R_wst_mean_62, R_wst_mean_63, R_wst_mean_70, G_wst_mean_15, G_wst_mean_61, G_wst_std_0"
clean,original,10,wst,0.925,0.071686,"R_wst_mean_3, R_wst_mean_40, R_wst_std_0, G_wst_mean_13, G_wst_mean_37, G_wst_mean_45, G_wst_mean_46, G_wst_mean_55, G_wst_std_55, B_wst_mean_52"
clean,original,10,wst,0.967333,0.040022,"R_wst_mean_1, R_wst_mean_8, R_wst_mean_9, R_wst_mean_10, R_wst_mean_16, R_wst_std_0, G_wst_mean_1, G_wst_mean_9, G_wst_std_0, B_wst_mean_0"
clean,original,20,advanced_stats,0.991304,0.017391,"R_std, R_var, R_min, R_cv, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_range, G_cv, G_p10, G_iqr, G_mad, G_grad_mean, B_min, B_cv, B_p10, B_grad_mean"
clean,original,20,advanced_stats,0.983333,0.033333,"R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_cv, G_iqr, G_mad, G_grad_mean, B_mean, B_range, B_cv, B_p10, B_p25, B_p75, B_grad_mean"
clean,original,20,advanced_stats,1.0,,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr"
clean,original,20,hybrid,0.991304,0.017391,"R_std, R_min, R_cv, R_iqr, R_mad, G_std, G_var, G_min, G_cv, G_iqr, G_mad, B_min, R_wst_mean_15, R_wst_mean_53, R_wst_mean_60, R_wst_mean_61, R_wst_mean_62, R_wst_mean_63, R_wst_mean_70, G_wst_std_0"
clean,original,20,hybrid,0.966667,0.048591,"R_std, R_var, B_cv, R_wst_mean_3, R_wst_mean_13, R_wst_mean_29, R_wst_mean_40, R_wst_std_0, G_wst_mean_4, G_wst_mean_5, G_wst_mean_11, G_wst_mean_13, G_wst_mean_37, G_wst_mean_45, G_wst_mean_46, G_wst_mean_55, G_wst_std_55, B_wst_mean_36, B_wst_mean_45, B_wst_mean_52"
clean,original,20,hybrid,1.0,,"R_std, R_var, R_min, R_cv, R_p10, R_p25, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, R_wst_mean_16"
clean,original,20,wst,0.965217,0.0426,"R_wst_mean_7, R_wst_mean_15, R_wst_mean_44, R_wst_mean_52, R_wst_mean_53, R_wst_mean_54, R_wst_mean_60, R_wst_mean_61, R_wst_mean_62, R_wst_mean_63, R_wst_mean_70, R_wst_mean_71, R_wst_std_0, G_wst_mean_15, G_wst_mean_44, G_wst_mean_45, G_wst_mean_61, G_wst_mean_62, G_wst_std_0, B_wst_mean_61"
clean,original,20,wst,0.933333,0.07728,"R_wst_mean_3, R_wst_mean_13, R_wst_mean_29, R_wst_mean_36, R_wst_mean_40, R_wst_std_0, G_wst_mean_4, G_wst_mean_5, G_wst_mean_11, G_wst_mean_13, G_wst_mean_37, G_wst_mean_38, G_wst_mean_45, G_wst_mean_46, G_wst_mean_52, G_wst_mean_55, G_wst_std_55, B_wst_mean_36, B_wst_mean_45, B_wst_mean_52"
clean,original,20,wst,0.983333,0.033333,"R_wst_mean_0, R_wst_mean_1, R_wst_mean_7, R_wst_mean_8, R_wst_mean_9, R_wst_mean_10, R_wst_mean_15, R_wst_mean_16, R_wst_mean_17, R_wst_mean_69, R_wst_mean_71, R_wst_mean_73, R_wst_std_0, G_wst_mean_1, G_wst_mean_9, G_wst_mean_10, G_wst_mean_16, G_wst_std_0, B_wst_mean_0, B_wst_std_0"
clean,small,2,advanced_stats,0.985185,0.088889,"R_iqr, G_iqr;R_iqr, G_mad;R_grad_mean, B_cv"
clean,small,2,hybrid,0.97037,0.044444,"R_iqr, G_iqr;R_iqr, G_mad;R_wst_mean_20, B_wst_mean_5"
clean,small,2,wst,0.911111,0.056383,"R_wst_mean_15, R_wst_mean_60;R_wst_mean_16, G_wst_std_0;R_wst_mean_20, B_wst_mean_5"
clean,small,5,advanced_stats,0.97037,0.066667,"R_min, R_iqr, R_mad, G_iqr, G_mad;R_iqr, G_min, G_iqr, G_mad, B_min;R_mad, R_grad_mean, G_grad_mean, B_cv, B_grad_mean"
clean,small,5,hybrid,0.962963,0.063796,"R_min, R_iqr, R_mad, G_iqr, G_mad;R_iqr, G_min, G_iqr, G_mad, B_min;R_wst_mean_20, G_wst_std_60, B_wst_mean_5, B_wst_mean_47, B_wst_mean_56"
clean,small,5,wst,0.925926,0.065955,"R_wst_mean_6, R_wst_mean_7, R_wst_mean_15, R_wst_mean_60, B_wst_mean_15;R_wst_mean_8, R_wst_mean_16, R_wst_std_0, G_wst_mean_16, G_wst_std_0;R_wst_mean_20, G_wst_std_60, B_wst_mean_5, B_wst_mean_47, B_wst_mean_56"
clean,small,10,advanced_stats,0.948148,0.060675,"R_std, R_min, R_iqr, R_mad, G_min, G_p10, G_iqr, G_mad, B_min, B_p10;R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10;R_std, R_var, R_mad, R_grad_mean, G_var, G_range, G_cv, G_grad_mean, B_cv, B_grad_mean"
