noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
gaussian50,popolar,mini,5,hybrid,KBest_Hybrid_RGB_Mini_Popolar_k5,0.8,0.26666666666666666,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k5/hybrid/hybrid_k5_mini_report.json,"R_p10, R_p75, B_skew, B_p10, B_p25","1.6801578051578054, 1.1127768527768533, 0.9518533318533322, 1.5417162467162469, 1.0348956598956602","0.6666666666666666, 1.0, 1.0, 0.3333333333333333, 1.0"
gaussian50,popolar,mini,10,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Popolar_k10,1.0,0.0,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k10/advanced_stats/advanced_stats_k10_mini_report.json,"R_p10, R_p25, R_p75, R_p90, B_mean, B_skew, B_cv, B_p25, B_p50, B_p90","1.1789432789432794, 0.8947369297369303, 1.273332408332409, 1.6852059052059054, 0.9231496281496288, 0.9962977762977767, 0.894681614681615, 1.0737845487845492, 1.0037051837051842, 1.42970732970733","1.0, 1.0, 1.0, 1.0, 1.0"
gaussian50,popolar,mini,10,wst,KBest_Wst_RGB_Mini_Popolar_k10,0.8666666666666668,0.26666666666666666,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k10/wst/wst_k10_mini_report.json,"R_mean, B_mean, B_std, R_WST0_mean, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST1_mean, B_WST2_mean, B_WST3_mean","0.8607133607133612, 0.9453718503718509, 0.48242812742812835, 0.8301578051578054, 0.7641020091020094, 0.7208480408480413, 0.9509274059274064, 0.5001554001554007, 0.5277768527768532, 0.519229474229475","1.0, 1.0, 1.0, 0.3333333333333333, 1.0"
gaussian50,popolar,mini,10,hybrid,KBest_Hybrid_RGB_Mini_Popolar_k10,0.9333333333333332,0.13333333333333336,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k10/hybrid/hybrid_k10_mini_report.json,"R_p10, R_p75, R_p90, G_p75, B_mean, B_cv, B_p10, B_p25, B_p90, B_WST0_mean","1.3693930143930146, 1.2376486476486483, 1.3560476560476564, 1.6663963813963818, 0.937594072594073, 0.9557927257927263, 1.1460589410589412, 1.5071178821178823, 1.8475868575868577, 0.967594072594073","1.0, 1.0, 1.0, 0.6666666666666666, 1.0"
gaussian50,popolar,mini,20,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Popolar_k20,0.8,0.26666666666666666,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k20/advanced_stats/advanced_stats_k20_mini_report.json,"R_mean, R_skew, R_cv, R_p10, R_p25, R_p50, R_p75, R_p90, G_p75, B_mean, B_var, B_skew, B_cv, B_p10, B_p25, B_p50, B_p75, B_p90, B_mad, B_grad_mean","0.7805851555851557, 0.8079355829355834, 0.7415599215599222, 1.195609945609946, 0.9042607392607396, 0.86960224960225, 1.273332408332409, 1.720920190920191, 1.0931953231953235, 0.8564829614829621, 0.4740947940947948, 0.9074088874088879, 0.8762200762200767, 0.9781448181448182, 1.0182289932289936, 0.796297776297777, 0.8417739667739672, 1.6523223073223074, 0.4856332556332563, 0.47348873348873344","0.6666666666666666, 1.0, 1.0, 0.3333333333333333, 1.0"
gaussian50,popolar,mini,20,wst,KBest_Wst_RGB_Mini_Popolar_k20,0.9333333333333332,0.13333333333333336,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k20/wst/wst_k20_mini_report.json,"R_mean, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST1_mean, R_WST3_std, G_WST0_std, G_WST8_mean, B_WST0_mean, B_WST1_mean, B_WST1_std, B_WST2_mean, B_WST3_mean, B_WST3_std, B_WST4_mean, B_WST6_mean, B_WST13_mean, B_WST21_mean","0.8307133607133612, 0.45481388981389026, 0.8259274059274064, 0.4574281274281282, 0.8607133607133608, 0.7029908979908983, 0.3611094461094464, 0.38216357716357763, 0.7885464535464541, 0.4375916675916678, 0.9453718503718509, 0.5152347652347657, 0.328310023310024, 0.5722212972212974, 0.5391789691789699, 0.36851759351759417, 0.3184646834646834, 0.3357109557109563, 0.478488733488734, 0.3375123025123028","1.0, 1.0, 1.0, 0.6666666666666666, 1.0"
gaussian50,popolar,mini,20,hybrid,KBest_Hybrid_RGB_Mini_Popolar_k20,0.8666666666666668,0.26666666666666666,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/mini/k20/hybrid/hybrid_k20_mini_report.json,"R_mean, R_skew, R_cv, R_p25, R_p50, R_p90, G_p75, B_mean, B_skew, B_cv, B_p10, B_p25, B_p50, B_p75, B_p90, R_WST0_mean, R_WST0_std, G_WST0_std, B_WST0_mean, B_WST2_mean","0.7418244718244724, 0.8694740444740447, 0.779522884522885, 0.8280702630702637, 0.8440466940466942, 1.3560476560476564, 0.9298619898619904, 0.9453718503718509, 0.938519998519999, 0.8451089651089652, 0.9285721685721686, 1.462673437673438, 0.8629644429644436, 0.7845517445517451, 1.2122205572205575, 0.8607133607133612, 0.7974353424353431, 0.7397369297369303, 0.9509274059274064, 0.5801578051578054","1.0, 1.0, 1.0, 0.3333333333333333, 1.0"
gaussian50,popolar,small,2,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k2,0.888888888888889,0.09938079899999065,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k2/advanced_stats/advanced_stats_k2_small_report.json,"B_skew, B_cv","0.8499051864397658, 0.8500037208030058","0.7777777777777778, 1.0, 0.7777777777777778, 0.8888888888888888, 1.0"
gaussian50,popolar,small,2,wst,KBest_Wst_RGB_Small_Popolar_k2,0.9555555555555555,0.054433105395181765,10,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k2/wst/wst_k2_small_report.json,"R_WST0_std, G_WST0_std","1.0577588850287578, 0.8860850650216043","0.8888888888888888, 1.0, 1.0, 1.0, 0.8888888888888888"
gaussian50,popolar,small,2,hybrid,KBest_Hybrid_RGB_Small_Popolar_k2,0.9555555555555555,0.054433105395181765,10,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_gaussian50_kbest/popolar/small/k2/hybrid/hybrid_k2_small_report.json,"R_p75, R_WST0_std","0.9145409918108647, 1.0577588850287578","0.8888888888888888, 1.0, 1.0, 1.0, 0.8888888888888888"
