noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
clean,popolar,small,10,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k10,0.9777777777777779,0.04444444444444447,100,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k10/advanced_stats/advanced_stats_k10_small_report.json,"R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10","1.035566808768054, 1.082001309271182, 1.0437561593593656, 1.0632475847821636, 1.0081311670677067, 1.0644255516954249, 1.0789413445445508, 1.0780623995969782, 1.0316213188911918, 1.0395438810784599","0.8888888888888888, 1.0, 1.0, 1.0, 1.0"
clean,popolar,small,10,wst,KBest_Wst_RGB_Small_Popolar_k10,0.9777777777777779,0.04444444444444447,100,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k10/wst/wst_k10_small_report.json,"R_std, G_std, R_WST0_std, R_WST4_mean, R_WST5_mean, R_WST6_mean, R_WST8_mean, G_WST0_std, G_WST8_mean, B_WST0_std","0.9229454268819663, 0.9430151719517115, 0.9642440574453031, 0.856276601879808, 0.8235340974706371, 0.830122200725407, 0.9420013092711821, 0.9837426851792248, 0.9254653144018539, 0.8529670433612715","0.8888888888888888, 1.0, 1.0, 1.0, 1.0"
clean,popolar,small,10,hybrid,KBest_Hybrid_RGB_Small_Popolar_k10,0.9777777777777779,0.04444444444444447,100,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k10/hybrid/hybrid_k10_small_report.json,"R_min, R_iqr, R_mad, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10","1.035566808768054, 1.082001309271182, 1.0437561593593656, 1.0632475847821636, 1.0081311670677067, 1.0662774035472764, 1.0789413445445508, 1.0780623995969782, 1.0316213188911918, 1.0358401773747563","0.8888888888888888, 1.0, 1.0, 1.0, 1.0"
clean,popolar,small,20,advanced_stats,KBest_Advanced_Stats_RGB_Small_Popolar_k20,0.9555555555555555,0.054433105395181765,100,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k20/advanced_stats/advanced_stats_k20_small_report.json,"R_std, R_var, R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_cv, G_iqr, G_mad, B_min, B_cv, B_p10, B_p25, B_iqr, B_mad","0.9229454268819663, 0.9020005076037139, 1.035566808768054, 0.9613832236530966, 0.979244057445303, 1.082001309271182, 1.0437561593593656, 0.9430151719517115, 0.950422579359119, 1.0632475847821636, 1.0081311670677067, 0.9176183465548862, 1.0662774035472764, 1.0789413445445508, 1.0780623995969782, 1.0316213188911918, 1.0395438810784599, 0.911724900857519, 0.9879910511922965, 0.9321100186445974","0.8888888888888888, 1.0, 1.0, 1.0, 0.8888888888888888"
clean,popolar,small,20,wst,KBest_Wst_RGB_Small_Popolar_k20,0.9555555555555555,0.054433105395181765,100,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k20/wst/wst_k20_small_report.json,"R_std, G_std, B_mean, B_std, R_WST0_mean, R_WST0_std, R_WST2_mean, R_WST4_mean, R_WST5_mean, R_WST6_mean, R_WST7_mean, R_WST8_mean, R_WST23_mean, G_WST0_std, G_WST2_mean, G_WST4_mean, G_WST6_mean, G_WST8_mean, B_WST0_mean, B_WST0_std","0.9229454268819663, 0.9430151719517115, 0.7964424672417525, 0.8009850747126359, 0.765281239217779, 0.9642440574453031, 0.7596473669172397, 0.856276601879808, 0.8235340974706371, 0.830122200725407, 0.7640896530261927, 0.9420013092711821, 0.7643570925583381, 0.9837426851792248, 0.7890521288220018, 0.7866659656025052, 0.8035450741482806, 0.9254653144018539, 0.7964424672417525, 0.8529670433612715","0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 1.0"
clean,popolar,small,20,hybrid,KBest_Hybrid_RGB_Small_Popolar_k20,0.9777777777777779,0.04444444444444447,100,45,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/small/k20/hybrid/hybrid_k20_small_report.json,"R_min, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_min, B_cv, B_p10, B_iqr, B_mad, R_WST0_std, R_WST8_mean, G_WST0_std, G_WST8_mean","1.035566808768054, 0.9613832236530966, 0.9844909710255498, 1.082001309271182, 1.0437561593593656, 0.9430151719517115, 0.950422579359119, 1.0632475847821636, 1.0081311670677067, 1.0644255516954249, 1.0789413445445508, 1.0780623995969782, 1.0316213188911918, 1.0358401773747563, 0.9879910511922965, 0.9321100186445974, 0.9642440574453031, 0.9420013092711821, 0.9837426851792248, 0.9254653144018539","1.0, 1.0, 1.0, 1.0, 0.8888888888888888"
clean,popolar,original,2,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k2,0.9916666666666668,0.016666666666666653,100,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k2/advanced_stats/advanced_stats_k2_original_report.json,"G_iqr, B_min","1.0950445190453826, 1.1040993531002166","1.0, 1.0, 0.9583333333333334, 1.0, 1.0"
clean,popolar,original,2,wst,KBest_Wst_RGB_Original_Popolar_k2,0.9253333333333333,0.041101500378128944,100,121,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k2/wst/wst_k2_original_report.json,"R_std, G_std","0.9373312268279583, 0.9398695975481468","0.96, 0.9583333333333334, 0.9583333333333334, 0.875, 0.875"
clean,popolar,original,2,hybrid,KBest_Hybrid_RGB_Original_Popolar_k2,0.9916666666666668,0.016666666666666653,100,121,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k2/hybrid/hybrid_k2_original_report.json,"G_iqr, B_min","1.0950445190453826, 1.1040993531002166","1.0, 1.0, 0.9583333333333334, 1.0, 1.0"
clean,popolar,original,5,advanced_stats,KBest_Advanced_Stats_RGB_Original_Popolar_k5,1.0,0.0,100,121,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/popolar/original/k5/advanced_stats/advanced_stats_k5_original_report.json,"R_iqr, G_iqr, G_mad, B_min, B_p10","1.0918274881424015, 1.0950445190453826, 1.0940344180352817, 1.1040993531002166, 1.0923784523297293","1.0, 1.0, 1.0, 1.0, 1.0"
