GaussianDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
rgb_gaussian50,original,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,2,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,5,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,10,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,20,,,FAILED
rgb_gaussian50,original,popolar,wst,2,,,FAILED
rgb_gaussian50,original,popolar,wst,5,,,FAILED
rgb_gaussian50,original,popolar,wst,10,,,FAILED
rgb_gaussian50,original,popolar,wst,20,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,2,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,5,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,10,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,20,,,FAILED
rgb_gaussian50,original,popolar,hybrid,2,,,FAILED
rgb_gaussian50,original,popolar,hybrid,5,,,FAILED
rgb_gaussian50,original,popolar,hybrid,10,,,FAILED
rgb_gaussian50,original,popolar,hybrid,20,,,FAILED
rgb_gaussian50,original,sunset,wst,2,,,FAILED
rgb_gaussian50,original,sunset,wst,5,,,FAILED
rgb_gaussian50,original,sunset,wst,10,,,FAILED
rgb_gaussian50,original,sunset,wst,20,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,2,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,5,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,10,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,20,,,FAILED
rgb_gaussian50,original,sunset,hybrid,2,,,FAILED
rgb_gaussian50,original,sunset,hybrid,5,,,FAILED
rgb_gaussian50,original,sunset,hybrid,10,,,FAILED
rgb_gaussian50,original,sunset,hybrid,20,,,FAILED
